indice_tiempo,oferta_total_60,pib_total_pm_60,importaciones_60,demanda_total_60,consumo_60,inversion_bruta_interna_60,exportaciones_60
1970-01-01,15729,14354,1375,15729,10455,3530,1744
1970-04-01,17250,15743,1507,17250,11450,3664,2136
1970-07-01,16999,15486,1513,16999,11435,3746,1818
1970-10-01,17048,15555,1493,17048,11699,3894,1455
1971-01-01,16341,14864,1478,16341,11133,3761,1448
1971-04-01,18156,16453,1703,18156,12044,4324,1787
1971-07-01,18240,16546,1694,18240,12541,4162,1538
1971-10-01,18182,16867,1315,18182,12416,4228,1539
1972-01-01,17054,15655,1399,17054,11941,3541,1572
1972-04-01,18339,16893,1446,18339,12815,3981,1543
1972-07-01,18622,17154,1468,18622,13004,4229,1389
1972-10-01,18938,17492,1446,18938,12879,4632,1427
1973-01-01,17839,16538,1301,17839,12349,3797,1693
1973-04-01,19012,17798,1214,19012,13529,4008,1476
1973-07-01,18831,17605,1227,18831,13420,3808,1604
1973-10-01,19988,18417,1571,19988,14089,4384,1516
1974-01-01,18438,17230,1208,18438,13387,3655,1396
1974-04-01,20408,19030,1378,20408,14661,4158,1588
1974-07-01,20312,18803,1510,20312,14785,4096,1432
1974-10-01,21603,19597,2006,21603,14947,4803,1854
1975-01-01,19665,17877,1787,19665,14884,3714,1067
1975-04-01,21002,19275,1727,21002,15526,4121,1355
1975-07-01,19803,18267,1536,19803,14463,3966,1374
1975-10-01,19948,18593,1356,19948,14011,4554,1384
1976-01-01,18426,17284,1143,18426,13465,3659,1302
1976-04-01,19662,18574,1088,19662,13545,4342,1775
1976-07-01,19730,18360,1370,19730,13200,4536,1994
1976-10-01,19754,18531,1223,19754,12882,4661,2212
1977-01-01,18898,17525,1373,18898,12010,4349,2539
1977-04-01,21191,19643,1549,21191,12732,5266,3193
1977-07-01,21528,19900,1628,21528,13128,5506,2894
1977-10-01,20842,19274,1569,20842,13630,4864,2349
1978-01-01,18172,16888,1284,18172,11915,3761,2496
1978-04-01,20070,18785,1285,20070,12027,4790,3253
1978-07-01,20325,18924,1401,20325,12288,4577,3461
1978-10-01,20495,19121,1374,20495,13352,4776,2368
1979-01-01,20500,18855,1645,20500,13262,4570,2668
1979-04-01,22142,20429,1713,22142,13185,5246,3711
1979-07-01,22421,20392,2029,22421,14049,5084,3288
1979-10-01,22455,20215,2240,22455,14469,5415,2570
1980-01-01,21863,19440,2423,21863,13798,5147,2918
1980-04-01,22052,19831,2221,22052,13515,5719,2818
1980-07-01,22980,20400,2580,22980,14799,5275,2905
1980-10-01,22884,20093,2791,22884,15002,5145,2738
